KEY,ENGLISH,FRENCH,CHINESE,
% Bill to date,% Bill to date,% de facturation à ce jour,% 迄今为止的帐单,
% Billed - ITD,% Billed - ITD,% facturé - ITD,计费百分比 - ITD,
% Billed to date,% Billed to date,% facturé à ce jour,% 迄今计费,
% complete,% complete,% complet,％ 完全的,
% Complete - ITD cost,% Complete - ITD cost,% achevé - coût ITD,完成百分比 - ITD 成本,
% Complete - ITD gross revenue,% Complete - ITD gross revenue,% achevé - Revenu brut ITD,完成百分比 - ITD 总收入,
% Cost to date,% Cost to date,% Coût à ce jour,迄今为止的成本百分比,
% Costs to date,% Costs to date,% Coûts à ce jour,迄今为止的成本百分比,
% spent,% spent,% dépensé,花费百分比,
% Spent - cost,% Spent - cost,% dépensé - coût,花费百分比 - 成本,
% Spent - hours,% Spent - hours,% dépensé - heures,花费的百分比 - 小时,
%Complete,%Complete,%Complet,％完全的,
>180 days,>180 days,>180 jours,>180 天,
31-60 days,31-60 days,31-60 jours,31-60天,
61-90 days,61-90 days,61-90 jours,61-90天,
91-180 days,91-180 days,91-180 jours,91-180天,
Account receivables,Account receivables,Comptes débiteurs,应收账款,
Accounts administrator email,Accounts administrator email,E-mail de l'administrateur des comptes,帐户管理员电子邮件,
Accounts receivable,Accounts receivable,Comptes débiteurs,应收账款,
Accounts sdministrator,Accounts sdministrator,Administrateur des comptes,帐户管理员,
Acm currency exchange rates,Acm currency exchange rates,Taux de change Acm,ACM货币汇率,
Acm periods,Acm periods,Périodes d'Acm ,ACM期,
Action,Action,Action,行动,
Action required by,Action required by,Action requise par,要求采取的行动,
Actual,Actual,Réel,实际的,
Actual cost,Actual cost,Prix ,实际成本,
Actual gross revenue,Actual gross revenue,Revenu brut réel,实际总收入,
Actual margin,Actual margin,Marge réelle,实际保证金,
Add filters,Add filters,Ajouter des filtres,添加过滤器,
Add widget,Add widget,Ajouter un widget,添加小部件,
Add widgets,Add widgets,Ajouter des widgets,添加小部件,
Addl Attribute,Addl Attribute,Attribut supplémentaire,添加属性,
Address,Address {{index}},Adresse {{index}},地址 {{index}},
Admin,Admin,Administrateur,行政,
Admin console,Admin console,Console d'administration,管理控制台,
Advanced,Advanced,Avancé,先进的,
Advanced search,Advanced search,Recherche Avancée,高级搜索,
Advanced search results,Advanced search results,Résultats de la recherche avancée,高级搜索结果,
AECOM business line segment,AECOM business line segment,Secteur d'activité d'AECOM,AECOM 业务线部分,
AECOM Client Type,AECOM Client Type,Type de client AECOM,AECOM 客户类型,
AECOM contract type,AECOM contract type,Type de contrat AECOM,AECOM 合同类型,
AECOM Contract Type,AECOM Contract Type,Type de contrat AECOM,AECOM 合同类型,
AECOM funding source,AECOM funding source,Source de financement AECOM,AECOM资金来源,
AECOM Funding Source,AECOM Funding Source,Source de financement AECOM,AECOM 资金来源,
AECOM Green Project,AECOM Green Project,Projet vert AECOM,AECOM 绿色项目,
AECOM Joint Venture Project,AECOM Joint Venture Project,Projet de coentreprise AECOM,AECOM合资项目,
