KEY,ENGLISH,FRENCH,CHINESE,
AgedARWidget_desc,A rolling 12-month accounts receivable (AR) trend grouped by aging bucket.  This widget can help highlight areas of concern around client non-payment and where action may need to be taken to understand the cause for the delay. Drill down for further detail to view project or invoice level data.,"Une tendance evoluante des comptes clients sur 12 mois regroupés par fourchette d'âge. Ce widget met en évidence les préoccupations concernant le non-paiement des clients pour permettre que des mesures sont mises en place pour comprendre la cause du retard. Des filtres vous permettent d'afficher les données au niveau du projet ou de la facture.",按账龄分组的 12 个月滚动应收账款 (AR) 趋势。,
AgedARWidget_title,Aged AR trend,Evolution Age AR ,老年 AR 趋势,
already exists,already exists,existe déjà,已经存在,
Applied overhead,Applied overhead,Frais généraux appliqués,应用开销,
Applied overhead_desc,Overhead cost (applied based on direct labor cost,Frais généraux (appliqués en fonction du coût de la main-d'œuvre directe,间接费用（根据直接人工成本应用,
Approved cost budget,Approved cost budget,Budget de coûts approuvé,批准的成本预算,
Avg. labor rate / hr,Avg. labor rate / hr,Taux de main-d’œuvre moyen / heure,平均。,
Avg. labor rate / hr_desc,Fully burdened labor / hours,Main-d'œuvre / heures entièrement chargées,满负荷人工/小时,
Billed (ex Tax),Billed (ex Tax),Facturé (HT),计费（不含税）,
Billed (ex Tax)_desc,Total billed balance (including retention),Solde total facturé (y compris la rétention),计费余额总额（包括保留金）,
BilledARWidget_desc,Billing & AR details,Facturation & détail AR ,帐单和应收账款详细信息,
BilledARWidget_title,Billing & AR details,Facturation & détail AR ,帐单和应收账款详细信息,
Cash applications,Cash applications,Paiement appliqué,现金申请,
Cash applications_desc,Cash applications applied during the period,Paiement appliqué durant la période,期内申请的现金申请,
CommitmentsWidget_desc,A view of all purchase orders and commitments raised against the project. Views to show values by status and summarised by supplier with drill down information to view specific purchase orders.,"Aperçu de tous les bons de commande et engagements imputés au projet. L'aperçu affiche les valeurs par statut et par fournisseur incluant des informations détaillées sur les  commandes spécifiques par fournisseur ",针对项目提出的所有采购订单和承诺的视图。,
CommitmentsWidget_title,Commitments detail PO status,Status du détail des engagements du bon de commande,承诺详情 PO 状态,
Contingency budget,Contingency budget,Budget contingence approuvé,应急预算,
Contingency budget_desc,Allocated contingency (budget item only),Contingence allouée (élément budgétaire uniquement),分配的应急费用（仅限预算项目）,
Date Invalid,Please enter a valid value. The field is incomplete or has an invalid date,Le champ est incomplet ou a une date non valide,请输入一个有效的值。,
delete message,Are you sure you want to delete message goes here?,Êtes-vous sûr de vouloir supprimer ce message ?,您确定要删除此处的消息吗？,
delete portfolio,Are you sure you want to delete this portfolio?,Êtes-vous sûr de vouloir supprimer ce portefeuille ?,您确定要删除此投资组合吗？,
delete view,Are you sure you want to delete this view?,Êtes-vous sûr de vouloir supprimer cet aperçu ?,您确定要删除此视图吗？,
delete warning port,Deleting this portfolio would not be recoverable.,La suppression de ce portefeuille ne serait pas récupérable.,删除此投资组合将无法恢复。,
delete warning view,Deleting this view would not be recoverable.,La suppression de cet aperçu ne serait pas récupérable.,删除此视图将无法恢复。,
delete warning widget,Deleting this widget will remove it from this view and it would not be recoverable.,La suppression de ce widget le supprimera de cet aperçu et il ne sera pas récupérable,删除此小部件会将其从此视图中移除，并且无法恢复。,
delete widget,Are you sure you want to delete this widget?,Voulez-vous vraiment supprimer ce widget ?,您确定要删除此小部件吗？,
Direct labor cost,Direct labor cost,Coût de la main-d'œuvre directe,直接人工成本,
Direct labor cost_desc,Direct (raw) labor cost for employee hours,Coût de main-d'œuvre directe (brut) pour les heures des employés,员工工时的直接（原始）人工成本,
Direct labor multiplier (DLM),Direct labor multiplier (DLM),Multiplicateur de main-d’œuvre directe (DLM),直接劳动乘数 (DLM),
Direct labor multiplier (DLM)_desc,Net service revenue - Direct labor,Revenus nets des services-Main-d'œuvre directe,净服务收入 - 直接人工,
Documents_desc,Documents,Documents,文件,
Documents_title,Documents,Documents,文件,
EarnedValue_desc,Earned value Description,Une mesure de la valeur des travaux achevés à ce jour (basée sur le % physique achevé),所得价值,
EarnedValue_title,Earned value,Valeur acquise,所得价值,
Email required,Email is a required field,Le courriel est un champ obligatoire,电子邮件是必填字段,
End after start,End date must be after the start date,La date de fin doit être postérieure à la date de début,结束日期必须晚于开始日期,
FormulasWidget_desc,"List of project fields, formulas, and values","Liste des champs, formules et valeurs du projet",项目字段、公式和值的列表,
FormulasWidget_title,Project fields,Champs de projet,项目领域,
Fringe % of direct labor,Fringe % of direct labor,% Fringe de la main-d'œuvre directe,直接劳动力的边缘百分比,
Fringe % of direct labor_desc,Fringe cost / Direct labor,Coût Fringe / Main-d'œuvre directe,附加成本/直接人工,
Fringe cost,Fringe cost,Coût Fringe ,附加成本,
Fringe cost_desc,Fringe cost (applied based on direct labor cost),Coût Fringe (appliqué en fonction du coût de la main-d'œuvre directe),附加成本（根据直接人工成本计算）,
Fully burdened labor,Fully burdened labor,Travail entièrement chargé,完全负担的劳动,
Fully burdened labor_desc,Direct labor cost + Fringe cost + Applied Overhead,Coût de la main-d'œuvre directe + coût fringe + frais généraux appliqués,直接人工成本 + 附加成本 + 应用间接费用,
Gain/Lost margin,Gain/Lost margin,Gain/perte de marge,收益/损失保证金,
Gain/Lost margin_desc,((Net margin / Gross revenue) - (Approved net margin budget/approved gross revenue budget))* YTD gross revenue. If >0 then Gain margin.  If <0 then Lost margin,"((Marge nette / Chiffre d'affaires brut) - (Budget de marge nette approuvé/Budget de chiffre d'affaires brut approuvé))* Chiffre d'affaires brut depuis le début de l'année. Si >0, alors Gain de la marge. Si <0 alors Perte de la marge.",（（净利润率/总收入）-（批准的净利润率预算/批准的总收入预算））* YTD 总收入。,
Gross margin,Gross margin,marge brute,毛利率,
Gross margin % NSR,Gross margin % NSR,Marge brute % NSR,毛利率 % NSR,
Gross margin % NSR_desc,Gross margin / Net Service Revenue,Marge brute / Chiffre d'affaires net des services,毛利率/净服务收入,
Gross margin_desc,Net Service Revenue - (Direct labor cost + Fringe cost),Revenu net des services - (coût de la main-d'œuvre directe + coût Fringe),净服务收入 -（直接人工成本 + 附加成本）,
Gross revenue,Gross revenue,Revenu brut,总收入,
Gross revenue_desc,Total revenue to AECOM,Recettes totales pour AECOM,AECOM 的总收入,
highlighted field,Please enter value for the highlighted field,Veuillez entrer une valeur pour le champ indiqué,请为突出显示的字段输入值,
Hours,Hours,Heures,小时,
Hours_desc,Total hours,Heures totales,全部小时数,
Invalid credentials,Invalid credentials,les informations d'identification invalides,无效证件,
KeyPerformanceIndicators_desc,Key performance indicators,Description des Indicateurs clés de performance,关键绩效指标,
KeyPerformanceIndicators_title,Key performance indicators,Indicateurs clés de performance,关键绩效指标,
login Okta,to login using Okta Single sign on.,pour vous connecter à l'aide de l'authentification unique Okta.,使用 Okta 单点登录登录。,
Net margin,Net margin,La marge nette,净利润,
Net margin % Gross revenue,Net margin % Gross revenue,Marge nette % Chiffre d'affaires brut,净利润率 % 总收入,
Net margin % Gross revenue_desc,Net margin / Gross revenue,Marge nette / Chiffre d'affaires brut,净利润率/总收入,
Net margin % NSR,Net margin % NSR,Marge nette % NSR,净利润率 % NSR,
Net margin % NSR_desc,Net margin / Net service revenue,Marge nette / Chiffre d'affaires net des services,净利润率/净服务收入,
Net margin_desc,Gross revenue - Labor - Fringe - Overhead - Subs - Other direct cost - Contingency,Recettes brutes - Main-d'œuvre - Fringe - Frais généraux - Sous-traitants - Autres coûts directs - Contingence.,总收入 - 人工 - 附加费 - 间接费用 - 补贴 - 其他直接成本 - 应急费用,
Net service revenue (NSR),Net service revenue (NSR),Revenus net des services (NSR),净服务收入 (NSR),
Net service revenue (NSR)_desc,Net revenue to AECOM: Gross revenue - (Subs + Other direct cost + contingency budget),Recettes nettes pour AECOM : Recettes brutes - (Sous-traitants + Autres coûts directs + budget pour Contingence),AECOM 的净收入：总收入 -（潜艇 + 其他直接成本 + 应急预算）,
NetReceivableWidget_desc,"A rolling 12-month trend of the net balance of accounts receivable and unbilled balances.  This widget easily shows the total money owed by our clients.  This can help with a quick assessment of our cash position on projects and portfolios, though needs to be considered along with the monthly spend of the projects.","Une tendance evoluante sur 12 mois du solde net des comptes débiteurs et des soldes non facturés. Ce widget affiche le montant total dû par nos clients.  Cela peut aider à évaluer rapidement notre position de trésorerie sur les projets et les portefeuilles, mais doit être pris en compte avec les dépenses mensuelles des projets. ",应收账款和未开票余额净余额的 12 个月滚动趋势。,
NetReceivableWidget_title,Net receivables,Créances nettes,净应收账款,
No result,No results found for ,Aucun résultat trouvé pour,没有找到结果,
No results found,No results found,Aucun résultat trouvé,未找到结果,
No_Data_Found,No data found,Aucune donnée disponible,没有找到数据,
Other direct cost,Other direct cost,Autre coût direct,其他直接费用,
Other direct cost_desc,Other direct costs (excluding subcontracts and subconsultants),Autres coûts directs (excluant les contrats de sous-traitance et des sous-consultants),其他直接成本（不包括分包合同和分包顾问）,
Overhead % of direct labor,Overhead % of direct labor,Frais généraux % de la main-d'œuvre directe,直接人工的间接费用百分比,
Overhead % of direct labor_desc,Applied overhead / Direct labor,Frais généraux appliqués / Main-d'œuvre directe,应用间接费用/直接人工,
Password required,Password is a required field,Mot de passe est un champ obligatoire,密码是必填字段,
PendingProjectApprovalWidget_desc,Pending project approvals,Approbations de projet en attente,待批项目,
PendingProjectApprovalWidget_title,Pending project approvals,Approbations de projet en attente,待批项目,
Port long name 255,Enter Portfolio long name less than 255,Entrez le nom long du portefeuille qui devra être inférieur à 255,输入投资组合长名称小于 255,
Portfolio created.,Portfolio created successfully.,Portefeuille créé avec succès.,投资组合创建成功。,
Portfolio deleted.,Portfolio deleted successfully.,Portefeuille supprimé avec succès.,投资组合删除成功。,
portfolio description,Enter portfolio description here,Entrez la description du portefeuille ici,在此处输入投资组合描述,
Portfolio duplicated.,Portfolio duplicated successfully.,Portefeuille dupliqué avec succès.,投资组合复制成功。,
portfolio name,Enter portfolio name here,Entrez le nom du portefeuille ici,在此处输入投资组合名称,
Portfolio name,Portfolio name,Nom du portefeuille,投资组合名称,
Portfolio saved.,Portfolio svaed successfully,Portefeuille sauvegardé avec succès,投资组合成功,
proceed,press yes to proceed,appuyez sur oui pour continuer,按是继续,
ProfitLossTable_desc,Profit & loss table,Tableau des profits et pertes,损益表,
ProfitLossTable_title,Profit & loss table,Tableau des profits et pertes,损益表,
ProjAgedARWidget_desc,A rolling 12-month accounts receivable (AR) trend grouped by aging bucket.  This widget can help highlight areas of concern around client non-payment and where action may need to be taken to understand the cause for the delay. Drill down for further detail to view project or invoice level data.,"Une tendance evoluante sur 12 mois comptes débiteurs (AR) regroupés par fourchette d'âge. Ce widget montre les données concernant le non-paiement des clients et les domaines où des mesures  nécessaires à comprendre la cause du retard. Des filtres vous permettent d'afficher les données au niveau du projet ou de la facture ",按账龄分组的 12 个月滚动应收账款 (AR) 趋势。,
ProjAgedARWidget_title,Aged AR trend,Evolution Age AR ,老年 AR 趋势,
ProjBilledARWidget_desc,Billing & AR details,Facturation & Détails AR ,帐单和应收账款详细信息,
ProjBilledARWidget_title,Billing & AR details,Facturation & Détails AR ,帐单和应收账款详细信息,
